PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-179,TESLA RESERVATION,10-16-2025,1,-250.00,,,,
P21119-220,GSUITE_LCSMDCC@,10-01-2025,9,-441.51,,,,
P21119-287,LULLA NYC,11-20-2023,2,-33.03,,,,
P21119-556,Yubico Inc,03-19-2025,1,-201.43,,,,
P21119-785,PwP Temu.com,07-14-2023,1,-26.14,,,,
P21119-825,GAAGO PASS,12-11-2024,2,-278.00,,,,
P21119-236,TWP*SUBXXXX5246 WASHINGTON,01-15-2025,2,-240.00,,,,
P21119-499,NEW LONDON,09-26-2025,64,-4379.37,,,,
P21119-540,QuickBooks,09-28-2025,32,-2166.69,,,,
P21119-734,Healthy Market,08-12-2025,1,2.60,,,,
P21119-817,PLEXINCPASS YEARLY,07-22-2023,1,-43.54,,,,
P21119-55,GROUND NEWS,05-01-2025,2,-119.98,,,,
P21119-171,CHATGPT SUBSCRIPTIONSAN,06-05-2024,17,-386.61,,,,
P21119-548,Nyct Paygo,08-12-2025,23,-8.70,,,,
P21119-228,Lowe's,07-08-2025,3,-90.49,,,,
P21119-491,"AIPRM, CORP.",07-24-2025,29,-610.02,,,,
P21119-605,Amoco,05-23-2024,1,-13.28,,,,
P21119-793,Vishans Video,08-12-2025,2,0.00,,,,
P21119-232,PHONE.COM XXXX9006,12-03-2023,1,-23.69,,,,
P21119-495,CLEARME.COM *CLEAR,07-10-2023,1,-179.00,,,,
P21119-609,Redemption,08-05-2024,1,263.48,,,,
P21119-730,BIG APPLE,07-12-2023,2,-163.67,,,,
P21119-797,Honda,02-28-2023,1,-85.24,,,,
P21119-813,RED EYE,10-13-2025,1,-82.43,,,,
P21119-59,REVEL* CAR,01-01-2025,3,-81.88,,,,
P21119-175,FACET BALTIMORE,09-25-2025,2,-3550.00,,,,
P21119-283,Town Country,03-16-2024,2,-125.38,,,,
P21119-552,Intuit,10-02-2025,36,-980.00,,,,
P21119-781,"NOTARIZE, INC.",08-09-2023,1,-35.00,,,,
P21119-821,PLUMBINGSUPPLY.COM,07-16-2024,1,-82.75,,,,
P21119-224,TESSIE* TRIAL,08-07-2024,1,-14.99,,,,
P21119-601,AMY'S BREAD,10-05-2025,4,-99.51,,,,
P21119-789,Home Shopping,05-15-2023,1,-124.87,,,,
P21119-829,ELEVENLABS.IO-FCBB43NEW YORK,11-19-2024,4,-20.00,,,,
P21119-51,ROKU FOR,10-12-2025,23,-22.77,,,,
P21119-544,COUNTRY FRUIT,07-02-2023,1,-27.85,,,,
P21119-738,WIFIONBOARD CHICAGO,05-22-2024,1,-4.95,,,,
P21119-57,UBIQUITI INC.,09-28-2025,66,-3110.64,,,,
P21119-173,Eye Buy,08-26-2025,9,-1935.82,,,,
P21119-238,PHONE.COM XXXX5271,03-03-2023,1,-23.59,,,,
P21119-819,AGASERVICECO MAR,03-08-2023,1,-284.43,,,,
P21119-289,The Game,06-24-2025,1,-23.00,,,,
P21119-493,JABRA ENHANCE,01-22-2024,2,-2094.00,,,,
P21119-558,Wise Pittsburgh,03-13-2025,2,-17.98,,,,
P21119-607,ANNUAL MEMBERSHIP,04-01-2025,3,-285.00,,,,
P21119-230,SpotHero,11-12-2024,1,-63.45,,,,
P21119-542,PORKBUN.COM SHERWOOD,01-31-2025,4,-194.13,,,,
P21119-736,Healthabit,08-03-2024,1,-20.72,,,,
P21119-795,2 BROS,04-07-2024,1,-11.00,,,,
P21119-811,HOME ASSISTANT,04-28-2024,1,-65.00,,,,
P21119-222,Dykes Lumber,03-07-2023,1,-562.01,,,,
P21119-281,ERACTOLL XXX-XXX-1258,07-17-2025,1,-20.51,,,,
P21119-550,Wireless,03-25-2025,7,70.00,,,,
P21119-787,$1 PIZZA,05-30-2025,1,-13.42,,,,
P21119-827,FT MERCHANDISE,03-20-2025,1,-744.70,,,,
P21119-226,TEXTME G.CO/HELPPAY#,06-27-2025,1,-6.99,,,,
P21119-285,THE BLUE,02-19-2024,4,-451.52,,,,
P21119-554,Bt Temu.com,06-15-2024,2,45.97,,,,
P21119-603,Remarkable,10-01-2025,14,-45.64,,,,
P21119-53,THERANEST WILEY,09-25-2025,32,-871.04,,,,
P21119-234,PHONE.COM XXXX4306,04-04-2024,1,-23.88,,,,
P21119-546,AMC,07-09-2025,1,-24.79,,,,
P21119-799,PwP SP,07-18-2023,1,-421.36,,,,
P21119-815,WMGIFTSHOPRALCBORD,07-09-2023,4,-64.28,,,,
P21119-177,TEMU.COM WILMINGTON,12-24-2024,3,-116.35,,,,
P21119-783,Hotel Tonight,07-02-2024,1,-274.00,,,,
P21119-823,FSP*ENCHANTMENT RESOSEDONA,02-08-2025,3,-514.16,,,,
P21119-497,Capital One,10-06-2025,2,-82.00,,,,
P21119-732,OF -,08-19-2025,1,-11.78,,,,
P21119-791,PwP SNIFFIES,06-27-2023,1,-59.94,,,,
P21119-233,S &,10-06-2025,6,-105.02,,,,
P21119-496,CLOUD GL6Z5H,02-01-2025,1,-0.05,,,,
P21119-731,Healthy,08-05-2025,1,-2.60,,,,
P21119-790,- BURGER,01-13-2025,2,-77.20,,,,
P21119-176,Sangoma US,10-06-2025,33,-2009.51,,,,
P21119-553,zubbpay.com,11-04-2024,21,-733.95,,,,
P21119-782,GitHub,06-25-2025,3,-308.88,,,,
P21119-822,Gap,09-07-2023,1,-211.91,,,,
P21119-225,AplPay SHAH'S,10-11-2025,1,-22.30,,,,
P21119-284,Guidos,06-29-2025,1,-47.90,,,,
P21119-602,BREADS BAKERY,02-19-2025,9,-117.72,,,,
P21119-52,Spectrum,10-21-2025,23,-2948.68,,,,
P21119-545,Potter's House,01-29-2025,1,-265.00,,,,
P21119-739,Apple Online,03-19-2024,1,4788.33,,,,
P21119-798,GERTRUDE HAWK,08-31-2023,1,-17.14,,,,
P21119-814,WL *STEAM,11-05-2024,1,-54.07,,,,
P21119-56,Revel,05-29-2025,2,-66.78,,,,
P21119-172,SP FEASTABLES,07-29-2023,1,-152.38,,,,
P21119-549,T-Mobile,10-20-2025,8,-150.89,,,,
P21119-818,Plex.TV,07-22-2025,2,-119.74,,,,
P21119-229,"Eargo, Inc",01-16-2024,1,-2550.00,,,,
P21119-288,MEREDITH'S BREAD,07-20-2025,2,-66.25,,,,
P21119-492,Camelot Realty,10-07-2025,5,-11100.42,,,,
P21119-606,BREAD &,02-28-2024,4,-104.80,,,,
P21119-237,PHONE.COM XXXX5828,02-04-2024,1,-23.98,,,,
P21119-541,American Airlines,01-27-2025,5,-1831.53,,,,
P21119-735,OCEAN GRILL,03-04-2025,1,-605.41,,,,
P21119-794,Homewood Suites,11-19-2024,2,0.00,,,,
P21119-810,American Eagle,12-31-2023,1,-244.08,,,,
P21119-1,Amazon,10-16-2025,518,-42920.74,,,,
