TRANSACTION,Transaction date,Account name,Transaction date,Original payee name from import,Transaction amount,Link to PAYEE record,Transaction memo
21119-3996-3,05-30-2025,Chase Freedom,05-30-2025,$1 PIZZA SLICE,-13.42,P211195285,
21119-3996-1,07-03-2023,Business Platinum Card®,07-03-2023,- BURGER FI MORRISVILLE NC XXXX9010,-31.69,P211195285,
21119-3996-2,01-13-2025,Business Platinum Card®,01-13-2025,- BURGER FI MORRISVILLE NC XXXX9010,-45.51,P211195285,
21119-3996-4,07-15-2025,Savor,07-15-2025,1-800-Contacts,-207.17,P211195285,
21119-3996-5,04-07-2024,Chase Freedom,04-07-2024,2 BROS W. 25TH,-11.00,P211195285,
21119-3996-14,07-23-2023,Chase Freedom,07-23-2023,21ST ST CAR WASH & LUBE,-33.73,P211195285,
21119-3996-15,04-04-2023,Chase Freedom,04-04-2023,245 E 40TH ST. PKG.,-16.00,P211195285,
21119-3996-10,08-28-2024,Business Platinum Card®,08-28-2024,2Checkout,-71.25,P211195285,
21119-3996-11,06-15-2025,Blue Business Cash(TM),06-15-2025,2Checkout,-168.00,P211195285,
21119-3996-6,08-29-2023,Business Platinum Card®,08-29-2023,2Checkout,-176.19,P211195285,
21119-3996-7,08-29-2023,Business Platinum Card®,08-29-2023,2Checkout,-76.20,P211195285,
21119-3996-8,01-01-2024,Business Platinum Card®,01-01-2024,2Checkout,-38.06,P211195285,
21119-3996-9,01-11-2024,Business Platinum Card®,01-11-2024,2Checkout,-38.07,P211195285,
21119-3996-12,01-01-2024,Chase Freedom,01-01-2024,2ND KITCHENS RD AIRPORT,-20.38,P211195285,
21119-3996-24,05-22-2024,Chase Bonvoy - old,05-22-2024,4036 BLUESTONE,-61.00,P211195285,
21119-3996-16,09-15-2023,Citi® Diamond Preferred® Card,09-15-2023,575 1ST AVENUE GARAGE NEW YORK NY,-43.00,P211195285,
21119-3996-17,09-18-2023,Citi® Diamond Preferred® Card,09-18-2023,575 1ST AVENUE GARAGE NEW YORK NY,-43.00,P211195285,
21119-3996-18,09-19-2023,Citi® Diamond Preferred® Card,09-19-2023,575 1ST AVENUE GARAGE NEW YORK NY,-10.00,P211195285,
21119-3996-19,08-25-2023,Chase Freedom,08-25-2023,575 1ST AVENUE GARAGE WE,-28.00,P211195285,
21119-3996-20,02-28-2024,Chase Freedom,02-28-2024,575 1ST AVENUE GARAGE WE,-50.00,P211195285,
21119-3996-21,02-29-2024,Chase Freedom,02-29-2024,575 1ST AVENUE GARAGE WE,-50.00,P211195285,
21119-3996-22,04-29-2024,Chase Freedom,04-29-2024,603 GOURMET DELI CORP,-18.18,P211195285,
21119-3996-23,05-10-2023,Citi® Diamond Preferred® Card,05-10-2023,652 FLIGHT TERMINAL A DENVER CO,-24.43,P211195285,
21119-3996-13,06-15-2025,Chase Freedom,06-15-2025,7-Eleven,-11.26,P211195285,
21119-3996-25,04-16-2023,Business Platinum Card®,04-16-2023,A 6HR DAZZLING VOUCHAUSTIN TX XXXX1009,-86.01,P211195285,
21119-3996-26,02-19-2023,Business Platinum Card®,02-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-27,03-19-2023,Business Platinum Card®,03-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-28,04-19-2023,Business Platinum Card®,04-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-29,05-19-2023,Business Platinum Card®,05-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-30,06-19-2023,Business Platinum Card®,06-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-31,07-19-2023,Business Platinum Card®,07-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-32,08-19-2023,Business Platinum Card®,08-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-33,09-19-2023,Business Platinum Card®,09-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-34,10-19-2023,Business Platinum Card®,10-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-35,11-19-2023,Business Platinum Card®,11-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-36,12-12-2023,Business Platinum Card®,12-12-2023,A Medium Corporation,-50.00,P211195285,
21119-3996-37,12-19-2023,Business Platinum Card®,12-19-2023,A Medium Corporation,-5.00,P211195285,
21119-3996-38,01-19-2024,Business Platinum Card®,01-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-39,02-19-2024,Business Platinum Card®,02-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-40,03-19-2024,Business Platinum Card®,03-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-41,04-19-2024,Business Platinum Card®,04-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-42,05-19-2024,Business Platinum Card®,05-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-43,06-19-2024,Business Platinum Card®,06-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-44,07-19-2024,Business Platinum Card®,07-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-45,08-19-2024,Business Platinum Card®,08-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-46,09-19-2024,Business Platinum Card®,09-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-47,10-19-2024,Business Platinum Card®,10-19-2024,A Medium Corporation,-5.00,P211195285,
21119-3996-48,08-01-2024,Business Platinum Card®,08-01-2024,AAA,-59.00,P211195285,
