PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-179,TESLA RESERVATION,21109,1,-25000,,,,
P21119-220,GSUITE_LCSMDCC@,21094,9,-44151,,,,
P21119-287,LULLA NYC,20413,2,-3303,,,,
P21119-556,Yubico Inc,20898,1,-20143,,,,
P21119-785,PwP Temu.com,20284,1,-2614,,,,
P21119-825,GAAGO PASS,20800,2,-27800,,,,
P21119-236,TWP*SUBXXXX5246 WASHINGTON,20835,2,-24000,,,,
P21119-499,NEW LONDON,21089,64,-437937,,,,
P21119-540,QuickBooks,21091,32,-216669,,,,
P21119-734,Healthy Market,21044,1,260,,,,
P21119-817,PLEXINCPASS YEARLY,20292,1,-4354,,,,
P21119-55,GROUND NEWS,20941,2,-11998,,,,
P21119-171,CHATGPT SUBSCRIPTIONSAN,20611,17,-38661,,,,
P21119-548,Nyct Paygo,21044,23,-870,,,,
P21119-228,Lowe's,21009,3,-9049,,,,
P21119-491,"AIPRM, CORP.",21025,29,-61002,,,,
P21119-605,Amoco,20598,1,-1328,,,,
P21119-793,Vishans Video,21044,2,0,,,,
P21119-232,PHONE.COM XXXX9006,20426,1,-2369,,,,
P21119-495,CLEARME.COM *CLEAR,20280,1,-17900,,,,
P21119-609,Redemption,20672,1,26348,,,,
P21119-730,BIG APPLE,20282,2,-16367,,,,
P21119-797,Honda,20148,1,-8524,,,,
P21119-813,RED EYE,21106,1,-8243,,,,
P21119-59,REVEL* CAR,20821,3,-8188,,,,
P21119-175,FACET BALTIMORE,21088,2,-355000,,,,
P21119-283,Town Country,20530,2,-12538,,,,
P21119-552,Intuit,21095,36,-98000,,,,
P21119-781,"NOTARIZE, INC.",20310,1,-3500,,,,
P21119-821,PLUMBINGSUPPLY.COM,20652,1,-8275,,,,
P21119-224,TESSIE* TRIAL,20674,1,-1499,,,,
P21119-601,AMY'S BREAD,21098,4,-9951,,,,
P21119-789,Home Shopping,20224,1,-12487,,,,
P21119-829,ELEVENLABS.IO-FCBB43NEW YORK,20778,4,-2000,,,,
P21119-51,ROKU FOR,21105,23,-2277,,,,
P21119-544,COUNTRY FRUIT,20272,1,-2785,,,,
P21119-738,WIFIONBOARD CHICAGO,20597,1,-495,,,,
P21119-57,UBIQUITI INC.,21091,66,-311064,,,,
P21119-173,Eye Buy,21058,9,-193582,,,,
P21119-238,PHONE.COM XXXX5271,20151,1,-2359,,,,
P21119-819,AGASERVICECO MAR,20156,1,-28443,,,,
P21119-289,The Game,20995,1,-2300,,,,
P21119-493,JABRA ENHANCE,20476,2,-209400,,,,
P21119-558,Wise Pittsburgh,20892,2,-1798,,,,
P21119-607,ANNUAL MEMBERSHIP,20911,3,-28500,,,,
P21119-230,SpotHero,20771,1,-6345,,,,
P21119-542,PORKBUN.COM SHERWOOD,20851,4,-19413,,,,
P21119-736,Healthabit,20670,1,-2072,,,,
P21119-795,2 BROS,20552,1,-1100,,,,
P21119-811,HOME ASSISTANT,20573,1,-6500,,,,
P21119-222,Dykes Lumber,20155,1,-56201,,,,
P21119-281,ERACTOLL XXX-XXX-1258,21018,1,-2051,,,,
P21119-550,Wireless,20904,7,7000,,,,
P21119-787,$1 PIZZA,20970,1,-1342,,,,
