FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique allergy record ID,Y,Y
PERSON_ID,1,A,Reference to PERSON file,Y,Y
ALLERGEN,2,A,Allergen name,Y,Y
ALLERGEN_TYPE,3,A,Type (food/drug/environmental/insect/other),Y,Y
SEVERITY,4,A,Severity (mild/moderate/severe/life-threatening),Y,Y
REACTION,5,A,Primary reaction,Y,N
SYMPTOMS,6,M,Symptoms (multivalued),N,N
ONSET_DATE,7,D,Date allergy identified,N,N
LAST_REACTION_DATE,8,D,Date of last reaction,N,N
VERIFIED_BY,9,A,Doctor ID who verified,N,Y
VERIFICATION_METHOD,10,A,Method (self-reported/skin-test/blood-test/reaction),N,N
TREATMENT,11,A,Treatment for reaction,N,N
EPIPEN_REQUIRED,12,A,EpiPen required flag (Y/N),N,N
CROSS_REACTIONS,13,M,Cross-reactive allergens (multivalued),N,N
NOTES,14,T,Additional notes,N,N
TAGS,15,M,Tags for categorization (multivalued),N,N
ACTIVE,16,A,Active status (Y/N),Y,Y
CREATED_DATE,17,D,Record creation date,Y,N
UPDATED_DATE,18,D,Last update date,Y,N
