FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique company identifier,Y,Y
NAME,1,A,Company name,Y,Y
LEGAL_NAME,2,A,Legal business name,N,N
INDUSTRY,3,A,Industry sector,N,Y
PHONE,4,A,Main phone number,N,N
EMAIL,5,A,Main email address,N,N
WEBSITE,6,A,Company website URL,N,N
ADDRESS,7,A,Street address,N,N
CITY,8,A,City,N,N
STATE,9,A,State or province,N,N
POSTAL_CODE,10,A,Postal or ZIP code,N,N
COUNTRY,11,A,Country,N,N
FOUNDED_DATE,12,D,Date founded,N,N
EMPLOYEES,13,N,Number of employees,N,N
REVENUE,14,N,Annual revenue,N,N
DESCRIPTION,15,T,Company description,N,N
NOTES,16,T,General notes,N,N
TAGS,17,M,Tags for categorization (multivalued),N,N
CONTACTS,18,M,Related person IDs (multivalued),N,N
PARENT_COMPANY_ID,19,A,Parent company ID,N,Y
LINKEDIN,20,A,LinkedIn company page,N,N
CREATED_DATE,21,D,Record creation date,Y,N
UPDATED_DATE,22,D,Last update date,Y,N
ACTIVE,23,A,Active status (Y/N),Y,Y
