FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique device identifier,Y,Y
DEVICE_NAME,1,A,Device name,Y,Y
DEVICE_TYPE,2,A,Type (computer/phone/tablet/speaker/iot),Y,Y
MANUFACTURER,3,A,Device manufacturer,N,N
MODEL,4,A,Device model,N,N
OS,5,A,Operating system,N,N
OS_VERSION,6,A,OS version,N,N
IP_ADDRESS,7,A,IP address,N,N
MAC_ADDRESS,8,A,MAC address,N,Y
LOCATION,9,A,Physical location,N,N
PLACE_ID,10,A,Reference to PLACE file,N,Y
CAPABILITIES,11,M,Device capabilities (multivalued),N,N
STATUS,12,A,Status (online/offline/error),Y,Y
LAST_SEEN,13,D,Last seen timestamp,N,N
USER_ID,14,A,Primary user ID,N,Y
TAGS,15,M,Tags for categorization (multivalued),N,N
ACTIVE,16,A,Active status (Y/N),Y,Y
CREATED_DATE,17,D,Record creation date,Y,N
UPDATED_DATE,18,D,Last update date,Y,N
