FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique doctor ID,Y,Y
FIRST_NAME,1,A,First name,Y,N
LAST_NAME,2,A,Last name,Y,Y
MIDDLE_NAME,3,A,Middle name or initial,N,N
TITLE,4,A,Title (MD/DO/DDS/PhD/NP/PA),Y,N
SPECIALTY,5,A,Medical specialty,Y,Y
SUB_SPECIALTY,6,A,Sub-specialty,N,N
NPI_NUMBER,7,A,National Provider Identifier,N,Y
LICENSE_NUMBER,8,A,Medical license number,N,N
LICENSE_STATE,9,A,State of licensure,N,N
BOARD_CERTIFIED,10,A,Board certification flag (Y/N),N,N
CERTIFICATIONS,11,M,Board certifications (multivalued),N,N
PRACTICE_NAME,12,A,Practice or clinic name,N,N
FACILITY_ID,13,A,Primary facility ID,N,Y
PHONE,14,A,Office phone number,N,N
FAX,15,A,Fax number,N,N
EMAIL,16,A,Email address,N,N
ADDRESS,17,A,Street address,N,N
CITY,18,A,City,N,N
STATE,19,A,State,N,N
ZIP,20,A,ZIP code,N,N
ACCEPTING_PATIENTS,21,A,Accepting new patients (Y/N),N,N
LANGUAGES,22,M,Languages spoken (multivalued),N,N
INSURANCE_ACCEPTED,23,M,Insurance plans accepted (multivalued),N,N
WEBSITE,24,A,Website URL,N,N
NOTES,25,T,Additional notes,N,N
TAGS,26,M,Tags for categorization (multivalued),N,N
ACTIVE,27,A,Active status (Y/N),Y,Y
CREATED_DATE,28,D,Record creation date,Y,N
UPDATED_DATE,29,D,Last update date,Y,N
