FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique email identifier,Y,Y
MESSAGE_ID,1,A,Email message ID from server,N,Y
THREAD_ID,2,A,Email thread identifier,N,Y
FROM_ADDRESS,3,A,Sender email address,Y,Y
FROM_NAME,4,A,Sender name,N,N
TO_ADDRESSES,5,M,Recipient addresses (multivalued),Y,N
CC_ADDRESSES,6,M,CC addresses (multivalued),N,N
BCC_ADDRESSES,7,M,BCC addresses (multivalued),N,N
SUBJECT,8,A,Email subject,Y,Y
BODY_TEXT,9,T,Plain text body,N,N
BODY_HTML,10,T,HTML body,N,N
RECEIVED_DATE,11,D,Date received,Y,Y
SENT_DATE,12,D,Date sent,N,N
READ_STATUS,13,A,Read status (Y/N),Y,Y
STARRED,14,A,Starred/flagged (Y/N),N,N
IMPORTANCE,15,A,Importance (low/normal/high),N,N
FOLDER,16,A,Email folder or label,N,Y
ATTACHMENTS,17,M,Attachment filenames (multivalued),N,N
ATTACHMENT_COUNT,18,N,Number of attachments,N,N
SIZE_BYTES,19,N,Email size in bytes,N,N
PERSON_ID,20,A,Linked person ID,N,Y
COMPANY_ID,21,A,Linked company ID,N,Y
REPLY_TO,22,A,Reply-to address,N,N
IN_REPLY_TO,23,A,Parent message ID,N,Y
REFERENCES,24,M,Referenced message IDs (multivalued),N,N
SUMMARY,25,T,AI-generated summary,N,N
SENTIMENT,26,A,Detected sentiment,N,N
INTENT,27,A,Detected intent,N,N
ACTION_REQUIRED,28,A,Action required flag (Y/N),N,Y
ACTION_TYPE,29,A,Type of action needed,N,N
PROCESSED,30,A,Processed by AI (Y/N),N,Y
PROCESSED_DATE,31,D,Processing date,N,N
TAGS,32,M,Tags for categorization (multivalued),N,N
CREATED_DATE,33,D,Record creation date,Y,N
