FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique event identifier,Y,Y
TITLE,1,A,Event title,Y,Y
EVENT_TYPE,2,A,Type (meeting/appointment/reminder/task),Y,Y
START_DATE,3,D,Start date,Y,Y
START_TIME,4,T,Start time,N,N
END_DATE,5,D,End date,N,N
END_TIME,6,T,End time,N,N
DURATION,7,N,Duration in minutes,N,N
LOCATION,8,A,Physical location or address,N,N
PLACE_ID,9,A,Reference to PLACE file,N,Y
VIRTUAL_LINK,10,A,Virtual meeting link,N,N
DESCRIPTION,11,T,Event description,N,N
NOTES,12,T,Additional notes,N,N
ATTENDEES,13,M,Person IDs attending (multivalued),N,N
ORGANIZER_ID,14,A,Person ID of organizer,N,Y
COMPANY_ID,15,A,Associated company ID,N,Y
STATUS,16,A,Status (scheduled/completed/cancelled),Y,Y
PRIORITY,17,A,Priority (low/medium/high/urgent),N,N
REMINDER_TIME,18,N,Minutes before to remind,N,N
REMINDER_SENT,19,A,Reminder sent flag (Y/N),N,N
RECURRENCE,20,A,Recurrence pattern,N,N
PARENT_EVENT_ID,21,A,Parent event for recurring events,N,Y
TAGS,22,M,Tags for categorization (multivalued),N,N
CREATED_DATE,23,D,Record creation date,Y,N
UPDATED_DATE,24,D,Last update date,Y,N
COMPLETED_DATE,25,D,Date completed,N,N
