FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique facility ID,Y,Y
FACILITY_NAME,1,A,Facility name,Y,Y
FACILITY_TYPE,2,A,Type (hospital/clinic/lab/imaging/pharmacy/urgent-care),Y,Y
NPI_NUMBER,3,A,National Provider Identifier,N,Y
PHONE,4,A,Main phone number,N,N
FAX,5,A,Fax number,N,N
EMAIL,6,A,Email address,N,N
WEBSITE,7,A,Website URL,N,N
ADDRESS,8,A,Street address,N,N
CITY,9,A,City,N,N
STATE,10,A,State,N,N
ZIP,11,A,ZIP code,N,N
EMERGENCY_SERVICES,12,A,Emergency services available (Y/N),N,N
HOURS_OPERATION,13,T,Hours of operation,N,N
SPECIALTIES,14,M,Medical specialties offered (multivalued),N,N
INSURANCE_ACCEPTED,15,M,Insurance plans accepted (multivalued),N,N
PARKING_INFO,16,A,Parking information,N,N
ACCESSIBILITY,17,A,Accessibility features,N,N
LANGUAGES,18,M,Languages spoken (multivalued),N,N
RATING,19,N,Facility rating (1-5),N,N
NOTES,20,T,Additional notes,N,N
TAGS,21,M,Tags for categorization (multivalued),N,N
ACTIVE,22,A,Active status (Y/N),Y,Y
CREATED_DATE,23,D,Record creation date,Y,N
UPDATED_DATE,24,D,Last update date,Y,N
