FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique immunization record ID,Y,Y
PERSON_ID,1,A,Reference to PERSON file,Y,Y
VACCINE_NAME,2,A,Vaccine name,Y,Y
CVX_CODE,3,A,CVX vaccine code,N,Y
NDC_CODE,4,A,NDC product code,N,N
VACCINE_TYPE,5,A,Type (routine/travel/occupational/other),N,N
ADMINISTRATION_DATE,6,D,Date administered,Y,Y
DOSE_NUMBER,7,N,Dose number in series,N,N
TOTAL_DOSES,8,N,Total doses in series,N,N
ROUTE,9,A,Route (IM/SC/oral/intranasal),N,N
SITE,10,A,Administration site (left-arm/right-arm/thigh),N,N
LOT_NUMBER,11,A,Vaccine lot number,N,N
MANUFACTURER,12,A,Manufacturer name,N,N
EXPIRATION_DATE,13,D,Vaccine expiration date,N,N
ADMINISTERED_BY,14,A,Healthcare provider ID,N,Y
FACILITY_ID,15,A,Healthcare facility ID,N,Y
REACTION,16,A,Adverse reaction flag (Y/N),N,N
REACTION_DETAILS,17,T,Reaction details,N,N
NEXT_DUE_DATE,18,D,Next dose due date,N,N
BOOSTER_REQUIRED,19,A,Booster required flag (Y/N),N,N
BOOSTER_DATE,20,D,Booster due date,N,N
VIS_DATE,21,D,VIS publication date,N,N
VIS_GIVEN,22,A,VIS given to patient (Y/N),N,N
CONSENT_OBTAINED,23,A,Consent obtained flag (Y/N),N,N
FUNDING_SOURCE,24,A,Funding source (private/public/uninsured),N,N
NOTES,25,T,Additional notes,N,N
TAGS,26,M,Tags for categorization (multivalued),N,N
ACTIVE,27,A,Active status (Y/N),Y,Y
CREATED_DATE,28,D,Record creation date,Y,N
UPDATED_DATE,29,D,Last update date,Y,N
