FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique insurance record ID,Y,Y
PERSON_ID,1,A,Reference to PERSON file,Y,Y
INSURANCE_TYPE,2,A,Type (medical/dental/vision/prescription/disability),Y,Y
CARRIER_NAME,3,A,Insurance carrier name,Y,Y
POLICY_NUMBER,4,A,Policy number,Y,Y
GROUP_NUMBER,5,A,Group number,N,N
SUBSCRIBER_ID,6,A,Subscriber ID,Y,N
SUBSCRIBER_NAME,7,A,Subscriber name,N,N
RELATIONSHIP,8,A,Relationship to subscriber (self/spouse/child/other),Y,N
EFFECTIVE_DATE,9,D,Coverage effective date,Y,N
TERMINATION_DATE,10,D,Coverage termination date,N,N
STATUS,11,A,Status (active/inactive/pending/cancelled),Y,Y
PRIORITY,12,A,Priority (primary/secondary/tertiary),Y,N
CARRIER_PHONE,13,A,Carrier phone number,N,N
CARRIER_WEBSITE,14,A,Carrier website,N,N
PLAN_NAME,15,A,Plan name,N,N
PLAN_TYPE,16,A,Plan type (HMO/PPO/EPO/POS),N,N
DEDUCTIBLE,17,N,Annual deductible amount,N,N
DEDUCTIBLE_MET,18,N,Deductible met amount,N,N
OUT_OF_POCKET_MAX,19,N,Out of pocket maximum,N,N
OUT_OF_POCKET_MET,20,N,Out of pocket met amount,N,N
COPAY_PRIMARY,21,N,Primary care copay,N,N
COPAY_SPECIALIST,22,N,Specialist copay,N,N
COPAY_EMERGENCY,23,N,Emergency room copay,N,N
PRESCRIPTION_COVERAGE,24,A,Prescription coverage flag (Y/N),N,N
VISION_COVERAGE,25,A,Vision coverage flag (Y/N),N,N
DENTAL_COVERAGE,26,A,Dental coverage flag (Y/N),N,N
CARD_FRONT,27,A,Insurance card front image ID,N,N
CARD_BACK,28,A,Insurance card back image ID,N,N
NOTES,29,T,Additional notes,N,N
TAGS,30,M,Tags for categorization (multivalued),N,N
ACTIVE,31,A,Active status (Y/N),Y,Y
CREATED_DATE,32,D,Record creation date,Y,N
UPDATED_DATE,33,D,Last update date,Y,N
