FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique integration identifier,Y,Y
NAME,1,A,Integration name,Y,Y
INT_TYPE,2,A,Type (api/webhook/service/database),Y,Y
PROVIDER,3,A,Service provider,N,Y
DESCRIPTION,4,T,Integration description,N,N
ENDPOINT_URL,5,A,API endpoint URL,N,N
AUTH_TYPE,6,A,Authentication type,N,N
API_KEY_NAME,7,A,API key reference,N,N
USERNAME,8,A,Username if applicable,N,N
HEADERS,9,T,Default headers (JSON),N,N
PARAMETERS,10,T,Default parameters (JSON),N,N
TIMEOUT_SECONDS,11,N,Request timeout,N,N
RETRY_COUNT,12,N,Retry attempts,N,N
RATE_LIMIT,13,N,Rate limit per minute,N,N
LAST_CALL,14,D,Last API call timestamp,N,N
CALL_COUNT,15,N,Total API calls made,N,N
SUCCESS_COUNT,16,N,Successful calls,N,N
FAILURE_COUNT,17,N,Failed calls,N,N
AVERAGE_LATENCY,18,N,Average latency (ms),N,N
TAGS,19,M,Tags for categorization (multivalued),N,N
ACTIVE,20,A,Active status (Y/N),Y,Y
CREATED_DATE,21,D,Record creation date,Y,N
UPDATED_DATE,22,D,Last update date,Y,N
