FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique log identifier,Y,Y
TIMESTAMP,1,D,Log timestamp,Y,Y
LOG_LEVEL,2,A,Level (DEBUG/INFO/WARN/ERROR/FATAL),Y,Y
SOURCE,3,A,Log source (module/service),Y,Y
MESSAGE,4,T,Log message,Y,N
ERROR_CODE,5,A,Error code if applicable,N,N
STACK_TRACE,6,T,Stack trace for errors,N,N
USER_ID,7,A,Associated user ID,N,Y
SESSION_ID,8,A,Associated session ID,N,Y
REQUEST_ID,9,A,Request identifier,N,Y
IP_ADDRESS,10,A,IP address,N,N
DURATION_MS,11,N,Operation duration (ms),N,N
TAGS,12,M,Tags for categorization (multivalued),N,N
