FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique master password record ID,Y,Y
PERSON_ID,1,A,Reference to PERSON file,Y,Y
PASSWORD_HASH,2,T,Hashed master password,Y,N
SALT,3,A,Salt for password hashing,Y,N
ENCRYPTION_KEY_ENC,4,T,Encrypted encryption key,Y,N
HINT,5,A,Password hint (not the password),N,N
RECOVERY_KEY,6,T,Encrypted recovery key,N,N
FAILED_ATTEMPTS,7,N,Failed login attempts,N,N
LOCKED_UNTIL,8,D,Locked until date/time,N,N
LAST_LOGIN_DATE,9,D,Last successful login,N,N
LAST_CHANGED_DATE,10,D,Date password last changed,Y,N
EXPIRES_DATE,11,D,Password expiration date,N,N
REQUIRE_CHANGE,12,A,Require password change (Y/N),N,N
SESSION_TIMEOUT,13,N,Session timeout in minutes,N,N
BIOMETRIC_ENABLED,14,A,Biometric authentication enabled (Y/N),N,N
ACTIVE,15,A,Active status (Y/N),Y,Y
CREATED_DATE,16,D,Record creation date,Y,N
UPDATED_DATE,17,D,Last update date,Y,N
