FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique medical history record ID,Y,Y
PERSON_ID,1,A,Reference to PERSON file,Y,Y
CONDITION,2,A,Medical condition/diagnosis,Y,Y
DIAGNOSIS_DATE,3,D,Date of diagnosis,N,N
RESOLVED_DATE,4,D,Date condition resolved,N,N
STATUS,5,A,Status (active/resolved/chronic/managed),Y,Y
SEVERITY,6,A,Severity (mild/moderate/severe/critical),N,N
ICD_CODE,7,A,ICD-10 diagnosis code,N,Y
NOTES,8,T,Clinical notes,N,N
DOCTOR_ID,9,A,Diagnosing physician ID,N,Y
FACILITY_ID,10,A,Healthcare facility ID,N,Y
TREATMENT_PLAN,11,T,Treatment plan description,N,N
PROGNOSIS,12,A,Prognosis (excellent/good/fair/poor),N,N
HEREDITARY,13,A,Hereditary condition flag (Y/N),N,N
COMPLICATIONS,14,M,Related complications (multivalued),N,N
RELATED_CONDITIONS,15,M,Related condition IDs (multivalued),N,N
ATTACHMENTS,16,M,Document IDs (multivalued),N,N
TAGS,17,M,Tags for categorization (multivalued),N,N
ACTIVE,18,A,Active status (Y/N),Y,Y
CREATED_DATE,19,D,Record creation date,Y,N
UPDATED_DATE,20,D,Last update date,Y,N
