FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique model identifier (e.g. gpt-4o),Y,Y
MODEL_NAME,1,A,Display name,Y,N
PROVIDER,2,A,Provider (openai/anthropic/ollama/custom),Y,Y
MODEL_FAMILY,3,A,Model family (gpt/claude/llama/deepseek),N,Y
DATE_RELEASED,4,D,Release date,N,N
CUTOFF_DATE,5,D,Knowledge cutoff date,N,N
CONTEXT_WINDOW,6,N,Maximum context window size,N,N
MAX_OUTPUT,7,N,Maximum output tokens,N,N
COST_INPUT,8,N,Cost per 1M input tokens,N,N
COST_OUTPUT,9,N,Cost per 1M output tokens,N,N
SUPPORTS_VISION,10,A,Vision support (Y/N),N,N
SUPPORTS_TOOLS,11,A,Function calling support (Y/N),N,N
SUPPORTS_STREAMING,12,A,Streaming support (Y/N),N,N
IS_REASONING,13,A,Reasoning model (Y/N),N,N
ENDPOINT,14,A,API endpoint path,N,N
API_VERSION,15,A,API version,N,N
DEFAULT_TEMPERATURE,16,N,Default temperature,N,N
DEFAULT_TOP_P,17,N,Default top_p,N,N
RATE_LIMIT_RPM,18,N,Rate limit (requests per minute),N,N
RATE_LIMIT_TPM,19,N,Rate limit (tokens per minute),N,N
DESCRIPTION,20,T,Model description,N,N
STRENGTHS,21,M,Model strengths (multivalued),N,N
LIMITATIONS,22,M,Known limitations (multivalued),N,N
USE_CASES,23,M,Recommended use cases (multivalued),N,N
NOTES,24,T,Additional notes,N,N
USAGE_COUNT,25,N,Total usage count,N,N
TOTAL_TOKENS,26,N,Total tokens processed,N,N
TOTAL_COST,27,N,Total cost incurred,N,N
AVERAGE_LATENCY,28,N,Average response latency (ms),N,N
SUCCESS_RATE,29,N,Success rate percentage,N,N
LAST_USED,30,D,Last usage timestamp,N,N
ACTIVE,31,A,Active status (Y/N),Y,Y
CREATED_DATE,32,D,Record creation date,Y,N
UPDATED_DATE,33,D,Last update date,Y,N
