FieldName,FieldNum,Type,Description,Required,Indexed
STANDARD_NAME,1,A,Standardized payee name,Y,Y
ALIASES,2,M,Alternate names (multivalued),N,N
DEFAULT_CATEGORY,3,A,Default transaction category,N,N
AUTO_REIMBURSABLE,4,A,Y/N auto-reimbursable flag,N,Y
REIMBURSEMENT_TYPE,5,A,Type of reimbursement,N,N
VENDOR_TYPE,6,A,Type of vendor,N,N
NOTES,7,T,Additional notes,N,N
FIRST_SEEN_DATE,8,D,First transaction date,N,N
LAST_SEEN_DATE,9,D,Last transaction date,N,N
TRANSACTION_COUNT,10,N,Number of transactions,N,N
TOTAL_AMOUNT,11,N,Total amount spent,N,N
ADDRESS,12,A,Payee address,N,N
PHONE,13,A,Phone number,N,N
EMAIL,14,A,Email address,N,N
WEBSITE,15,A,Website URL,N,N
TAX_ID,16,A,Tax ID or EIN,N,N
TAG_KEYS,17,M,Tag keys (multivalued),N,Y
