FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique person identifier,Y,Y
FIRST_NAME,1,A,First name,Y,N
LAST_NAME,2,A,Last name,Y,Y
MIDDLE_NAME,3,A,Middle name or initial,N,N
BIRTHDATE,4,D,Date of birth,N,N
EMAIL,5,A,Primary email address,N,Y
PHONE,6,A,Primary phone number,N,N
MOBILE,7,A,Mobile phone number,N,N
ADDRESS,8,A,Street address,N,N
CITY,9,A,City,N,N
STATE,10,A,State or province,N,N
POSTAL_CODE,11,A,Postal or ZIP code,N,N
COUNTRY,12,A,Country,N,N
NOTES,13,T,General notes,N,N
TAGS,14,M,Tags for categorization (multivalued),N,N
RELATIONSHIPS,15,M,Related person IDs (multivalued),N,N
COMPANY_ID,16,A,Associated company ID,N,Y
TITLE,17,A,Job title or role,N,N
LINKEDIN,18,A,LinkedIn profile URL,N,N
TWITTER,19,A,Twitter handle,N,N
PREFERENCES,20,T,User preferences (JSON),N,N
LAST_CONTACT,21,D,Last contact date,N,N
CONTACT_FREQUENCY,22,A,Preferred contact frequency,N,N
CREATED_DATE,23,D,Record creation date,Y,N
UPDATED_DATE,24,D,Last update date,Y,N
ACTIVE,25,A,Active status (Y/N),Y,Y
