FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique persona identifier,Y,Y
NAME,1,A,Persona name,Y,Y
DISPLAY_NAME,2,A,Display name for UI,Y,N
WAKE_WORDS,3,M,Wake words for activation (multivalued),N,N
MODEL_ID,4,A,Default AI model to use,Y,Y
VOICE_ID,5,A,TTS voice identifier,N,N
VOICE_SPEED,6,N,Voice speed multiplier,N,N
VOICE_PITCH,7,N,Voice pitch adjustment,N,N
SYSTEM_PROMPT_ID,8,A,System prompt to use,N,Y
TEMPERATURE,9,N,Model temperature setting,N,N
MAX_TOKENS,10,N,Maximum tokens per response,N,N
TOP_P,11,N,Top P sampling parameter,N,N
FREQUENCY_PENALTY,12,N,Frequency penalty,N,N
PRESENCE_PENALTY,13,N,Presence penalty,N,N
PERSONALITY_TRAITS,14,T,Personality traits (JSON),N,N
GENERAL_DOMAIN,15,A,General knowledge domain,N,N
PRIVATE_DOMAIN,16,A,Private knowledge domain,N,N
MEMORY_FILE,17,A,Associated memory file,N,N
CONTEXT_WINDOW,18,N,Context window size,N,N
BREVITY,19,A,Response length (brief/normal/detailed),N,N
HUMOR_LEVEL,20,A,Humor level (none/light/normal/high),N,N
FORMALITY,21,A,Formality level (casual/professional/formal),N,N
LANGUAGE,22,A,Primary language code,N,N
CAPABILITIES,23,M,Enabled capabilities (multivalued),N,N
RESTRICTIONS,24,M,Restrictions or limitations (multivalued),N,N
ACTIVE,25,A,Active status (Y/N),Y,Y
CREATED_DATE,26,D,Record creation date,Y,N
UPDATED_DATE,27,D,Last update date,Y,N
