FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique pharmacy ID,Y,Y
PHARMACY_NAME,1,A,Pharmacy name,Y,Y
CHAIN_NAME,2,A,Chain name (CVS/Walgreens/etc),N,N
NCPDP_ID,3,A,NCPDP pharmacy identifier,N,Y
NPI_NUMBER,4,A,National Provider Identifier,N,Y
PHONE,5,A,Main phone number,Y,N
FAX,6,A,Fax number,N,N
EMAIL,7,A,Email address,N,N
WEBSITE,8,A,Website URL,N,N
ADDRESS,9,A,Street address,Y,N
CITY,10,A,City,Y,N
STATE,11,A,State,Y,N
ZIP,12,A,ZIP code,Y,N
HOURS_OPERATION,13,T,Hours of operation,N,N
DRIVE_THRU,14,A,Drive-thru available (Y/N),N,N
DELIVERY_AVAILABLE,15,A,Delivery available (Y/N),N,N
MAIL_ORDER,16,A,Mail order available (Y/N),N,N
SPECIALTY_PHARMACY,17,A,Specialty pharmacy flag (Y/N),N,N
SERVICES,18,M,Services offered (multivalued),N,N
INSURANCE_ACCEPTED,19,M,Insurance plans accepted (multivalued),N,N
LANGUAGES,20,M,Languages spoken (multivalued),N,N
PARKING_INFO,21,A,Parking information,N,N
ACCESSIBILITY,22,A,Accessibility features,N,N
RATING,23,N,Pharmacy rating (1-5),N,N
NOTES,24,T,Additional notes,N,N
TAGS,25,M,Tags for categorization (multivalued),N,N
ACTIVE,26,A,Active status (Y/N),Y,Y
CREATED_DATE,27,D,Record creation date,Y,N
UPDATED_DATE,28,D,Last update date,Y,N
