FieldName,FieldNum,Type,Description,Required,Indexed
STORE_FILENAME,1,A,Stored filename in PHOTO.STORE,Y,N
ORIG_FILENAME,2,A,Original filename from source,Y,N
SOURCE_PATH,3,A,Original file path,N,N
FILE_SIZE,4,N,File size in bytes,N,N
FILE_HASH,5,A,SHA256 hash for duplicate detection,Y,Y
MIME_TYPE,6,A,Image MIME type,N,N
WIDTH,7,N,Image width in pixels,N,N
HEIGHT,8,N,Image height in pixels,N,N
ORIENTATION,9,A,Image orientation,N,N
DATE_TAKEN,10,D,Date photo was taken,N,Y
DATE_IMPORTED,11,D,Date imported into system,Y,N
CAMERA_MAKE,12,A,Camera manufacturer,N,N
CAMERA_MODEL,13,A,Camera model,N,N
GPS_LAT,14,N,GPS latitude,N,N
GPS_LON,15,N,GPS longitude,N,N
LOCATION_NAME,16,A,Named location,N,N
GROUP_ID,17,K,Photo group ID,N,Y
TAGS,18,M,Tags (multivalued),N,N
PEOPLE,19,M,People in photo (multivalued),N,N
NOTES,20,T,User notes,N,N
CAPTION,21,T,Photo caption,N,N
QUALITY_SCORE,22,N,Quality score 0-100,N,N
BLUR_SCORE,23,N,Blur score 0-100,N,N
IS_BLURRY,24,A,Blurry flag Y/N,N,N
IS_FAVORITE,25,A,Favorite flag Y/N,N,N
ALBUM,26,A,Album name,N,N
IS_NSFW,27,A,Adult content flag Y/N,N,N
IS_ARCHIVED,28,A,Archived flag Y/N,N,N
IS_DELETED,29,A,Deleted flag Y/N,N,N
IS_PRIVATE,30,A,Private flag Y/N,N,N
ANALYSIS_DATA,31,T,Full JSON analysis data,N,N
