FieldName,FieldNum,Type,Description,Required,Indexed
GROUP_NAME,1,A,Group name,Y,N
START_DATE,2,D,First photo date,Y,Y
END_DATE,3,D,Last photo date,Y,N
START_TIME,4,T,First photo time,N,N
END_TIME,5,T,Last photo time,N,N
PHOTO_COUNT,6,N,Number of photos in group,Y,N
LOCATION,7,A,Primary location,N,N
DESCRIPTION,8,T,Group description,N,N
TAGS,9,M,Group tags (multivalued),N,N
PEOPLE,10,M,People in group (multivalued),N,N
IS_EVENT,11,A,Event flag Y/N,N,N
IS_ARCHIVED,12,A,Archived flag Y/N,N,N
NOTES,13,T,Group notes,N,N
