FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique place identifier,Y,Y
NAME,1,A,Place name,Y,Y
PLACE_TYPE,2,A,Type (office/home/venue/restaurant/virtual),Y,Y
ADDRESS,3,A,Street address,N,N
CITY,4,A,City,N,Y
STATE,5,A,State or province,N,N
POSTAL_CODE,6,A,Postal or ZIP code,N,N
COUNTRY,7,A,Country,N,Y
LATITUDE,8,N,GPS latitude,N,N
LONGITUDE,9,N,GPS longitude,N,N
PHONE,10,A,Phone number,N,N
EMAIL,11,A,Email address,N,N
WEBSITE,12,A,Website URL,N,N
HOURS,13,T,Operating hours,N,N
DESCRIPTION,14,T,Place description,N,N
NOTES,15,T,Additional notes,N,N
CAPACITY,16,N,Capacity (people),N,N
AMENITIES,17,M,Available amenities (multivalued),N,N
ACCESSIBILITY,18,A,Accessibility information,N,N
PARKING,19,A,Parking information,N,N
COMPANY_ID,20,A,Associated company ID,N,Y
TAGS,21,M,Tags for categorization (multivalued),N,N
CREATED_DATE,22,D,Record creation date,Y,N
UPDATED_DATE,23,D,Last update date,Y,N
ACTIVE,24,A,Active status (Y/N),Y,Y
