FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique prompt identifier,Y,Y
PROMPT_NAME,1,A,Prompt name,Y,Y
PROMPT_TYPE,2,A,Type (SYSTEM/USER/ASSISTANT/TEMPLATE),Y,Y
CATEGORY,3,A,Category for organization,N,Y
PROMPT_TEXT,4,T,The actual prompt text,Y,N
VARIABLES,5,M,Template variables (multivalued),N,N
DESCRIPTION,6,T,Prompt description,N,N
USE_CASE,7,A,Primary use case,N,N
MODEL_IDS,8,M,Recommended model IDs (multivalued),N,N
PERSONA_IDS,9,M,Associated persona IDs (multivalued),N,N
TEMPERATURE,10,N,Recommended temperature,N,N
MAX_TOKENS,11,N,Recommended max tokens,N,N
EXAMPLES,12,M,Usage examples (multivalued),N,N
VERSION,13,A,Prompt version,N,N
PARENT_PROMPT_ID,14,A,Parent prompt for versions,N,Y
USAGE_COUNT,15,N,Number of times used,N,N
SUCCESS_RATE,16,N,Success rate percentage,N,N
AVERAGE_RATING,17,N,Average user rating,N,N
LAST_USED,18,D,Last usage timestamp,N,N
TAGS,19,M,Tags for categorization (multivalued),N,N
AUTHOR,20,A,Prompt author,N,N
NOTES,21,T,Additional notes,N,N
ACTIVE,22,A,Active status (Y/N),Y,Y
CREATED_DATE,23,D,Record creation date,Y,N
UPDATED_DATE,24,D,Last update date,Y,N
