FieldName,FieldNum,Type,Description,Required,Indexed
BATCH_ID,1,A,Reimbursement batch ID,Y,Y
BATCH_DATE,2,D,Date batch created,Y,N
STATUS,3,A,Batch status,Y,Y
TRANSACTION_IDS,4,M,Transaction IDs in batch (multivalued),N,N
TOTAL_AMOUNT,5,N,Total reimbursement amount,N,N
SUBMITTED_DATE,6,D,Date submitted,N,N
APPROVED_DATE,7,D,Date approved,N,N
PAID_DATE,8,D,Date paid,N,N
APPROVER,9,A,Approver name,N,N
PAYMENT_METHOD,10,A,Payment method,N,N
CHECK_NUMBER,11,A,Check number if applicable,N,N
NOTES,12,T,Batch notes,N,N
CATEGORY,13,A,Reimbursement category,N,N
