FieldName,FieldNum,Type,Description,Required,Indexed
RULE_TYPE,1,A,Type of rule,Y,Y
PATTERN,2,A,Pattern to match,Y,N
ACTION,3,A,Action to perform,Y,N
TARGET_VALUE,4,A,Target value for action,N,N
PRIORITY,5,N,Priority (lower = higher),Y,N
ACTIVE_FLAG,6,A,Y/N active flag,Y,Y
CREATED_DATE,7,D,Date rule created,N,N
MODIFIED_DATE,8,D,Date rule modified,N,N
CREATED_BY,9,A,User who created rule,N,N
DESCRIPTION,10,T,Rule description,N,N
MATCH_COUNT,11,N,Number of matches,N,N
LAST_MATCH_DATE,12,D,Last match date,N,N
