FileName,Abbrev,FileNum,FileType,Priority,Description,FieldCount,Status
PERSON,per,1,DYNAMIC,1,People and contacts,26,active
COMPANY,com,2,DYNAMIC,1,Companies and organizations,24,active
EVENT,evt,3,DYNAMIC,1,Events and appointments,26,active
PLACE,pla,4,DYNAMIC,1,Physical and virtual locations,25,active
SCHOOL,sch,5,DYNAMIC,2,Educational institutions,23,active
CONVERSATION,con,6,DYNAMIC,1,Conversation messages,23,active
SESSION,ses,7,DYNAMIC,1,User sessions,23,active
PERSONA,psn,8,DYNAMIC,1,AI personas,28,active
MEMORY,mem,9,DYNAMIC,1,Persistent memory store,24,active
SKILL,skl,10,DYNAMIC,2,Skills and capabilities,31,active
TASK,tsk,11,DYNAMIC,1,Tasks and todos,32,active
EMAIL,eml,12,DYNAMIC,2,Email messages,34,active
MODEL,mdl,13,DYNAMIC,1,AI models,34,active
PROMPT,prm,14,DYNAMIC,1,System prompts,25,active
DEVICE,dev,15,DYNAMIC,2,Devices and endpoints,19,active
DOCUMENT,doc,16,DYNAMIC,2,Documents and files,23,active
INTEGRATION,int,17,DYNAMIC,2,External integrations,23,active
LOG,log,18,DYNAMIC,3,System logs,13,active
MEDICAL_HISTORY,mhx,19,DYNAMIC,1,Medical history and conditions,21,active
MEDICATION,med,20,DYNAMIC,1,Medications and prescriptions,28,active
ALLERGY,alg,21,DYNAMIC,1,Allergies and sensitivities,19,active
DOCTOR,dtr,22,DYNAMIC,1,Healthcare providers,30,active
MEDICAL_TEST,tst,23,DYNAMIC,1,Medical tests and results,29,active
HEALTHCARE_FACILITY,hcf,24,DYNAMIC,2,Healthcare facilities,25,active
APPOINTMENT,apt,25,DYNAMIC,1,Medical appointments,30,active
INSURANCE,ins,26,DYNAMIC,1,Insurance coverage,34,active
PHARMACY,phm,27,DYNAMIC,2,Pharmacies,29,active
IMMUNIZATION,imm,28,DYNAMIC,1,Immunizations and vaccines,30,active
VITAL_SIGNS,vit,29,DYNAMIC,1,Vital signs measurements,32,active
PASSWORD_VAULT,pwd,30,DYNAMIC,1,Password vault,32,active
MASTER_PASSWORD,mst,31,DYNAMIC,1,Master password management,18,active
TRANSACTION,trn,32,DYNAMIC,1,Financial transactions,23,active
PAYEE,pye,33,DYNAMIC,1,Payee master records,16,active
RULE,rul,34,DYNAMIC,1,Processing rules,16,active
REIMBURSEMENT,rmb,35,DYNAMIC,1,Reimbursement batches,13,active
IMPORT_LOG,iml,36,DYNAMIC,2,Import audit log,9,active
CATEGORY,cat,37,DYNAMIC,1,Transaction categories,9,active
TAG,tag,38,DYNAMIC,1,Tags for classification,9,active
PHOTO,pho,39,DYNAMIC,1,Photo metadata,31,active
PHOTO_GROUP,phg,40,DYNAMIC,1,Photo event groups,13,active
