FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique school identifier,Y,Y
NAME,1,A,School name,Y,Y
SCHOOL_TYPE,2,A,Type (elementary/middle/high/college/university),Y,Y
ADDRESS,3,A,Street address,N,N
CITY,4,A,City,N,Y
STATE,5,A,State or province,N,N
POSTAL_CODE,6,A,Postal or ZIP code,N,N
COUNTRY,7,A,Country,N,Y
PHONE,8,A,Main phone number,N,N
EMAIL,9,A,Main email address,N,N
WEBSITE,10,A,School website URL,N,N
FOUNDED_DATE,11,D,Date founded,N,N
ENROLLMENT,12,N,Number of students,N,N
DESCRIPTION,13,T,School description,N,N
NOTES,14,T,General notes,N,N
ACCREDITATION,15,M,Accreditations (multivalued),N,N
PROGRAMS,16,M,Programs offered (multivalued),N,N
MASCOT,17,A,School mascot,N,N
COLORS,18,A,School colors,N,N
TAGS,19,M,Tags for categorization (multivalued),N,N
CREATED_DATE,20,D,Record creation date,Y,N
UPDATED_DATE,21,D,Last update date,Y,N
ACTIVE,22,A,Active status (Y/N),Y,Y
