FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique session identifier,Y,Y
USER_ID,1,A,User identifier,N,Y
PERSONA_ID,2,A,Active persona for session,N,Y
START_TIME,3,D,Session start timestamp,Y,Y
END_TIME,4,D,Session end timestamp,N,N
DURATION_SECONDS,5,N,Session duration in seconds,N,N
MESSAGE_COUNT,6,N,Number of messages in session,N,N
TOTAL_TOKENS,7,N,Total tokens used,N,N
TOTAL_COST,8,N,Total cost of session,N,N
INTERFACE_TYPE,9,A,Interface (voice/text/web/api),Y,Y
DEVICE_ID,10,A,Device identifier,N,N
IP_ADDRESS,11,A,IP address,N,N
LOCATION,12,A,Geographic location,N,N
STATUS,13,A,Status (active/completed/abandoned/error),Y,Y
CONTEXT_SUMMARY,14,T,Session context summary,N,N
TOPICS,15,M,Topics discussed (multivalued),N,N
ACTIONS_TAKEN,16,M,Actions performed (multivalued),N,N
FILES_ACCESSED,17,M,Files accessed (multivalued),N,N
SATISFACTION_SCORE,18,N,User satisfaction (1-5),N,N
NOTES,19,T,Session notes,N,N
TAGS,20,M,Tags for categorization (multivalued),N,N
CREATED_DATE,21,D,Record creation date,Y,N
UPDATED_DATE,22,D,Last update date,Y,N
