FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique skill identifier,Y,Y
NAME,1,A,Skill name,Y,Y
DISPLAY_NAME,2,A,Display name for UI,Y,N
SKILL_TYPE,3,A,Type (command/integration/automation/analysis),Y,Y
CATEGORY,4,A,Skill category,N,Y
DESCRIPTION,5,T,Skill description,Y,N
TRIGGER_WORDS,6,M,Trigger words or phrases (multivalued),N,N
COMMAND_SYNTAX,7,A,Command syntax pattern,N,N
HANDLER_TYPE,8,A,Handler type (qm/python/api/webhook),Y,Y
HANDLER_PATH,9,A,Path to handler code,N,N
HANDLER_FUNCTION,10,A,Function or method name,N,N
PARAMETERS,11,T,Parameter definitions (JSON),N,N
REQUIRED_CAPABILITIES,12,M,Required capabilities (multivalued),N,N
DEPENDENCIES,13,M,Dependency skill IDs (multivalued),N,N
API_ENDPOINT,14,A,External API endpoint,N,N
API_KEY_NAME,15,A,API key reference,N,N
TIMEOUT_SECONDS,16,N,Execution timeout,N,N
RETRY_COUNT,17,N,Number of retries on failure,N,N
SUCCESS_COUNT,18,N,Successful execution count,N,N
FAILURE_COUNT,19,N,Failed execution count,N,N
LAST_USED,20,D,Last execution timestamp,N,N
AVERAGE_DURATION,21,N,Average execution time (ms),N,N
SUCCESS_RATE,22,N,Success rate percentage,N,N
EXAMPLES,23,M,Usage examples (multivalued),N,N
HELP_TEXT,24,T,Help documentation,N,N
VERSION,25,A,Skill version,N,N
AUTHOR,26,A,Skill author,N,N
TAGS,27,M,Tags for categorization (multivalued),N,N
ACTIVE,28,A,Active status (Y/N),Y,Y
CREATED_DATE,29,D,Record creation date,Y,N
UPDATED_DATE,30,D,Last update date,Y,N
