FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique task identifier,Y,Y
TITLE,1,A,Task title,Y,Y
DESCRIPTION,2,T,Task description,N,N
TASK_TYPE,3,A,Type (todo/reminder/project/subtask),Y,Y
STATUS,4,A,Status (pending/active/completed/cancelled),Y,Y
PRIORITY,5,A,Priority (low/medium/high/urgent),N,Y
DUE_DATE,6,D,Due date,N,Y
DUE_TIME,7,T,Due time,N,N
START_DATE,8,D,Start date,N,N
COMPLETED_DATE,9,D,Completion date,N,N
ASSIGNED_TO,10,A,Person ID assigned to,N,Y
CREATED_BY,11,A,Person ID who created task,N,Y
PROJECT_ID,12,A,Parent project ID,N,Y
PARENT_TASK_ID,13,A,Parent task for subtasks,N,Y
SUBTASKS,14,M,Subtask IDs (multivalued),N,N
DEPENDENCIES,15,M,Dependent task IDs (multivalued),N,N
ESTIMATED_HOURS,16,N,Estimated hours to complete,N,N
ACTUAL_HOURS,17,N,Actual hours spent,N,N
PROGRESS_PERCENT,18,N,Progress percentage (0-100),N,N
RECURRENCE,19,A,Recurrence pattern,N,N
REMINDER_TIME,20,N,Minutes before to remind,N,N
REMINDER_SENT,21,A,Reminder sent flag (Y/N),N,N
LOCATION,22,A,Task location,N,N
PLACE_ID,23,A,Reference to PLACE file,N,Y
CONTEXT,24,A,Task context or category,N,Y
NOTES,25,T,Additional notes,N,N
ATTACHMENTS,26,M,Attachment references (multivalued),N,N
CHECKLIST,27,M,Checklist items (multivalued),N,N
TAGS,28,M,Tags for categorization (multivalued),N,N
ENERGY_LEVEL,29,A,Required energy (low/medium/high),N,N
CREATED_DATE,30,D,Record creation date,Y,N
UPDATED_DATE,31,D,Last update date,Y,N
