FieldName,FieldNum,Type,Description,Required,Indexed
TRANS_DATE,1,D,Transaction date,Y,Y
ORIGINAL_PAYEE,2,A,Original payee name from import,Y,N
STANDARDIZED_PAYEE,3,A,Standardized payee name,N,Y
AMOUNT,4,N,Transaction amount,Y,N
CATEGORY_KEY,5,A,Category key (8-digit hierarchical),N,Y
ACCOUNT,6,A,Account name,N,N
MEMO,7,A,Transaction memo,N,N
REIMBURSABLE_FLAG,8,A,Y/N reimbursable flag,N,Y
REIMBURSEMENT_CATEGORY,9,A,Category of reimbursement,N,N
REIMBURSEMENT_STATUS,10,A,Status of reimbursement,N,N
PAYEE_ID,11,A,Link to PAYEE record,N,N
IMPORT_BATCH_ID,12,A,Import batch identifier,N,Y
TAG_KEYS,13,M,Tag keys (multivalued),N,Y
REIMB_PERCENTAGE,14,N,Reimbursement percentage (0-100),N,N
SUBCATEGORY,15,A,Transaction subcategory,N,N
CHECK_NUMBER,16,A,Check number if applicable,N,N
TRANSACTION_TYPE,17,A,Type of transaction,N,N
CLEARED_STATUS,18,A,Cleared status,N,N
QUICKEN_TAGS,19,A,Tags from Quicken,N,N
SPLIT_FLAG,20,A,Y/N if split transaction,N,N
PARENT_TRANS_ID,21,A,Parent transaction ID if split,N,N
ADDRESS,22,A,Payee address,N,N
CLASS,23,A,Transaction class,N,N
RAW_CSV_LINE,24,T,Original CSV line,N,N
