FieldName,FieldNum,Type,Description,Required,Indexed
ID,0,K,Unique vital signs record ID,Y,Y
PERSON_ID,1,A,Reference to PERSON file,Y,Y
MEASUREMENT_DATE,2,D,Date measured,Y,Y
MEASUREMENT_TIME,3,T,Time measured,N,N
MEASURED_BY,4,A,Healthcare provider ID,N,Y
FACILITY_ID,5,A,Healthcare facility ID,N,Y
APPOINTMENT_ID,6,A,Related appointment ID,N,Y
HEIGHT,7,N,Height in inches,N,N
WEIGHT,8,N,Weight in pounds,N,N
BMI,9,N,Body Mass Index,N,N
TEMPERATURE,10,N,Temperature in Fahrenheit,N,N
TEMP_METHOD,11,A,Temperature method (oral/ear/forehead/rectal),N,N
BLOOD_PRESSURE_SYSTOLIC,12,N,Systolic BP (mmHg),N,N
BLOOD_PRESSURE_DIASTOLIC,13,N,Diastolic BP (mmHg),N,N
BP_POSITION,14,A,BP position (sitting/standing/lying),N,N
PULSE,15,N,Pulse rate (bpm),N,N
PULSE_RHYTHM,16,A,Pulse rhythm (regular/irregular),N,N
RESPIRATORY_RATE,17,N,Respiratory rate (breaths/min),N,N
OXYGEN_SATURATION,18,N,O2 saturation percentage,N,N
O2_DELIVERY,19,A,O2 delivery method (room-air/nasal-cannula/mask),N,N
PAIN_LEVEL,20,N,Pain level (0-10 scale),N,N
PAIN_LOCATION,21,A,Pain location,N,N
GLUCOSE,22,N,Blood glucose (mg/dL),N,N
GLUCOSE_TIMING,23,A,Glucose timing (fasting/random/post-meal),N,N
HEAD_CIRCUMFERENCE,24,N,Head circumference in cm (pediatric),N,N
WAIST_CIRCUMFERENCE,25,N,Waist circumference in inches,N,N
NOTES,26,T,Additional notes,N,N
ABNORMAL_FLAGS,27,M,Abnormal value flags (multivalued),N,N
TAGS,28,M,Tags for categorization (multivalued),N,N
ACTIVE,29,A,Active status (Y/N),Y,Y
CREATED_DATE,30,D,Record creation date,Y,N
UPDATED_DATE,31,D,Last update date,Y,N
