NAME                                        ID              SIZE      MODIFIED     
openthinker:32b-q8_0                        58ba37ade26f    34 GB     40 hours ago    
deepseek-r1:70b                             0c1615a8ca32    42 GB     40 hours ago    
deepseek-r1:32b                             38056bbcbb2d    19 GB     2 weeks ago     
deepseek-r1:14b-qwen-distill-q4_K_M         ea35dfe18182    9.0 GB    4 weeks ago     
deepseek-r1:7b                              0a8c26691023    4.7 GB    4 weeks ago     
deepseek-v2:16B                             7c8c332f2df7    8.9 GB    4 weeks ago     
phi4:latest                                 ac896e5b8b34    9.1 GB    5 weeks ago     
Hermes-3-Llama-3.2-3B.Q4_K_M.gguf:latest    53e7111b9891    2.0 GB    7 weeks ago     
wizardlm-uncensored:latest                  886a369d74fc    7.4 GB    7 weeks ago     
nemotron:latest                             2262f047a28a    42 GB     7 weeks ago     
qwq:latest                                  46407beda5c0    19 GB     7 weeks ago     
falcon3:10b                                 1653ff122acd    6.3 GB    7 weeks ago     
granite3.1-moe:3b                           df6f6578dba8    2.0 GB    7 weeks ago     
granite3.1-dense:latest                     86ac4cf0cb84    4.9 GB    7 weeks ago     
llama3.2-vision:90b                         d2a5e64c56a9    54 GB     7 weeks ago     
llama3.2-vision:latest                      085a1fdae525    7.9 GB    8 weeks ago     
dolphin-mistral:latest                      5dc8c5a2be65    4.1 GB    2 months ago    
llama3.3:70b                                a6eb4748fd29    42 GB     2 months ago    
starcoder:latest                            847e5a7aa26f    1.8 GB    3 months ago    
qwen2.5:latest                              845dbda0ea48    4.7 GB    3 months ago    
reader-lm:latest                            33da2b9e0afe    934 MB    3 months ago    
qwen2.5-coder:latest                        2b0496514337    4.7 GB    3 months ago    
phi3.5:latest                               61819fb370a3    2.2 GB    3 months ago    
nemotron-mini:latest                        ed76ab18784f    2.7 GB    3 months ago    
mistral:latest                              f974a74358d6    4.1 GB    3 months ago    
mistral-nemo:latest                         994f3b8b7801    7.1 GB    3 months ago    
llama3.2:latest                             a80c4f17acd5    2.0 GB    3 months ago    
llava:latest                                8dd30f6b0cb1    4.7 GB    3 months ago    
hermes3:latest                              b5c6c7cb379d    4.7 GB    3 months ago    
gemma2:latest                               ff02c3702f32    5.4 GB    3 months ago    
granite-code:latest                         becc94fe1876    2.0 GB    3 months ago    
dolphin-mixtral:latest                      cfada4ba31c7    26 GB     3 months ago    
codegemma:latest                            0c96700aaada    5.0 GB    3 months ago    
codellama:latest                            8fdf8f752f6e    3.8 GB    3 months ago    
